from;to;Year;EdgeType
Int;Int;Int;Int
1;2;2000;1
1;2;2001;1
1;3;2000;1
1;3;2001;1
2;3;2000;1
2;3;2001;1
1;4;2001;1
1;4;2002;1
1;4;2003;1
1;4;2004;1
1;4;2005;1
1;5;1999;1
1;5;2000;1
1;5;2001;1
1;5;2002;1
1;5;2003;1
1;5;2004;1
1;5;2005;1
1;5;2006;1
1;6;2000;1
1;6;2001;1
1;6;2002;1
1;7;1999;1
1;7;2000;1
1;7;2001;1
1;7;2002;1
1;7;2003;1
1;8;1999;1
1;8;2000;1
1;8;2001;1
1;8;2002;1
1;8;2003;1
1;9;1999;1
1;9;2000;1
1;9;2001;1
1;9;2002;1
1;9;2003;1
1;10;1999;1
1;10;2000;1
1;10;2001;1
1;10;2002;1
1;10;2003;1
7;8;1999;1
7;8;2000;1
7;8;2001;1
7;8;2002;1
7;8;2003;1
7;9;1999;1
7;9;2000;1
7;9;2001;1
7;9;2002;1
7;9;2003;1
7;10;1999;1
7;10;2000;1
7;10;2001;1
7;10;2002;1
7;10;2003;1
8;9;1999;1
8;9;2000;1
8;9;2001;1
8;9;2002;1
8;9;2003;1
8;10;1999;1
8;10;2000;1
8;10;2001;1
8;10;2002;1
8;10;2003;1
9;10;1999;1
9;10;2000;1
9;10;2001;1
9;10;2002;1
9;10;2003;1
1;11;2001;1
1;12;2001;1
11;12;2001;1
1;13;1998;1
1;13;1999;1
1;13;2000;1
1;13;2001;1
1;13;2002;1
1;13;2003;1
1;14;1998;1
1;14;1999;1
1;14;2000;1
1;14;2001;1
1;14;2002;1
1;14;2003;1
1;14;2004;1
1;702;1999;1
1;702;2000;1
1;702;2001;1
15;16;2002;1
15;16;2003;1
15;16;2004;1
15;16;2005;1
15;16;2006;1
15;16;2007;1
15;16;2008;1
15;17;2002;1
15;17;2003;1
15;17;2004;1
15;17;2005;1
15;17;2006;1
15;17;2007;1
15;17;2008;1
15;18;2002;1
15;18;2003;1
15;18;2004;1
15;18;2005;1
15;18;2006;1
15;18;2007;1
15;18;2008;1
16;17;2002;1
16;17;2003;1
